symbol,name,yahoo,stockanalysis,has_listing
MUGHAL,Mughal Iron & Steel Industries Limited,MUGHAL.KA,MUGHAL,1
MUREB,Murree Brewery Company Limited,MUREB.KA,MUREB,1
MWMP,Mandviwalla Mauser Plastic Industries Limited,MWMP.KA,MWMP,1
NAGC,Nagina Cotton Mills Limited,NAGC.KA,NAGC,1
NATF,National Foods Limited,NATF.KA,NATF,1
NATM,Nadeem Textile Mills Limited,NATM.KA,NATM,1
NBP,National Bank of Pakistan,NBP.KA,NBP,1
NCL,Nishat Chunian Limited,NCL.KA,NCL,1
NCML,Nazir Cotton Mills Limited,NCML.KA,NCML,1
NCPL,Nishat Chunian Power Limited,NCPL.KA,NCPL,1
NESTLE,Nestle Pakistan Limited,NESTLE.KA,NESTLE,1
NETSOL,NetSol Technologies Limited,NETSOL.KA,NETSOL,1
NEXT,Next Capital Limited,NEXT.KA,NEXT,1
NICL,Nimir Industrial Chemicals Limited,NICL.KA,NICL,1
NML,Nishat Mills Limited,NML.KA,NML,1
NONS,Noon Sugar Mills Limited,NONS.KA,NONS,1
NPL,Nishat Power Limited,NPL.KA,NPL,1
NRL,National Refinery Limited,NRL.KA,NRL,1
NRSL,Nimir Resins Limited,NRSL.KA,NRSL,1
NSRM,The National Silk & Rayon Mills Limited,NSRM.KA,NSRM,1
OBOY,Oilboy Energy Limited,OBOY.KA,OBOY,1
OCTOPUS,Octopus Digital Limited,OCTOPUS.KA,OCTOPUS,1
OGDC,Oil & Gas Development Company Limited,OGDC.KA,OGDC,1
OLPL,OLP Financial Services Pakistan Limited,OLPL.KA,OLPL,1
OLPM,OLP Modaraba,OLPM.KA,OLPM,1
OML,Olympia Mills Limited,OML.KA,OML,1
ORM,Orient Rental Mod,ORM.KA,ORM,1
OTSU,Otsuka Pakistan Limited,OTSU.KA,OTSU,1
PABC,Pakistan Aluminium Beverage Cans Limited,PABC.KA,PABC,1
PACE,Pace (Pakistan) Limited,PACE.KA,PACE,1
PAEL,Pak Elektron Limited,PAEL.KA,PAEL,1
PAKD,Pak Datacom Limited,PAKD.KA,PAKD,1
PAKL,Pak Leather Crafts Limited,PAKL.KA,PAKL,1
PAKOXY,Pakistan Oxygen Limited,PAKOXY.KA,PAKOXY,1
PAKRI,Pakistan Reinsurance Company Limited,PAKRI.KA,PAKRI,1
PAKT,Pakistan Tobacco Company Limited,PAKT.KA,PAKT,1
PASL,Pervez Ahmed Consultancy Services Ltd.,PASL.KA,PASL,1
PASM,Paramount Spinning Mills Limited,PASM.KA,PASM,1
PCAL,Pakistan Cables Limited,PCAL.KA,PCAL,1
PECO,Pakistan Engineering Company Limited,PECO.KA,PECO,1
PGLC,Pak-Gulf Leasing Company Limited,PGLC.KA,PGLC,1
PHDL,Pakistan Hotels Developers Limited,PHDL.KA,PHDL,1
PIAHCLA,PIA Holding Company Limited,PIAHCLA.KA,PIAHCLA,1
PIAHCLB,PIA Holding Company Limited,PIAHCLB.KA,PIAHCLB,1
PIBTL,Pakistan International Bulk Terminal,PIBTL.KA,PIBTL,1
PICT,Pakistan International Container,PICT.KA,PICT,1
PIL,PICIC Insurance Limited,PIL.KA,PIL,1
PIM,Popular Islamic Modaraba,PIM.KA,PIM,1
PINL,Premier Insurance Limited,PINL.KA,PINL,1
PIOC,Pioneer Cement Limited,PIOC.KA,PIOC,1
PKGI,The Pakistan General Insurance Co. Ltd.,PKGI.KA,PKGI,1
PKGP,Pakgen Power Limited,PKGP.KA,PKGP,1
PKGS,Packages Limited,PKGS.KA,PKGS,1
PMRS,The Premier Sugar Mills,PMRS.KA,PMRS,1
PNSC,Pakistan National Shipping Corporation,PNSC.KA,PNSC,1
POL,Pakistan Oilfields Limited,POL.KA,POL,1
POML,Punjab Oil Mills Limited,POML.KA,POML,1
POWER,Power Cement Limited,POWER.KA,POWER,1
PPL,Pakistan Petroleum Limited,PPL.KA,PPL,1
PPP,Pakistan Paper Products Limited,PPP.KA,PPP,1
PPVC,Pakistan PVC Limited,PPVC.KA,PPVC,1
PQGTL,Pak Qatar General Takaful Limited,PQGTL.KA,PQGTL,1
PREMA,At-Tahur Limited,PREMA.KA,PREMA,1
PRET,Premium Textile Mills Limited,PRET.KA,PRET,1
PRL,Pakistan Refinery Limited,PRL.KA,PRL,1
PRWM,Prosperity Weaving Mills Limited,PRWM.KA,PRWM,1
PSEL,Pakistan Services Limited,PSEL.KA,PSEL,1
PSO,Pakistan State Oil Company Limited,PSO.KA,PSO,1
PSX,Pakistan Stock Exchange Limited,PSX.KA,PSX,1
PSYL,Pakistan Synthetics Limited,PSYL.KA,PSYL,1
PTC,Pakistan Telecommunication Company Ltd,PTC.KA,PTC,1
PTL,Panther Tyres Ltd.,PTL.KA,PTL,1
QTECH,Quantum Data Technologies Limited,QTECH.KA,QTECH,1
QUET,Quetta Textile Mills Limited,QUET.KA,QUET,1
QUICE,Quice Food Industries Limited,QUICE.KA,QUICE,1
REDCO,Redco Textiles Limited,REDCO.KA,REDCO,1
REWM,Reliance Weaving Mills Limited,REWM.KA,REWM,1
RICL,Reliance Insurance Company Limited,RICL.KA,RICL,1
RMPL,Rafhan Maize Products Company Limited,RMPL.KA,RMPL,1
RPL,Roshan Packages Limited,RPL.KA,RPL,1
RUBY,Ruby Textile Mills Limited,RUBY.KA,RUBY,1
RUPL,Rupali Polyester Limited,RUPL.KA,RUPL,1
SAIF,Saif Textile Mills Limited,SAIF.KA,SAIF,1
SANE,Salman Noman Enterprises Limited,SANE.KA,SANE,1
SANSM,Sanghar Sugar Mills Limited,SANSM.KA,SANSM,1
SAPT,Sapphire Textile Mills Limited,SAPT.KA,SAPT,1
SARC,Sardar Chemical Industries Limited,SARC.KA,SARC,1
