provider_symbol,symbol,sector,industry,source
9546.SR,9546,Healthcare,Medical Care Facilities,
9547.SR,9547,Industrials,Engineering & Construction,
9548.SR,9548,Basic Materials,Specialty Chemicals,
9549.SR,9549,Consumer Defensive,Packaged Foods,
9550.SR,9550,Technology,Information Technology Services,
9551.SR,9551,Consumer Cyclical,Specialty Retail,
9552.SR,9552,Basic Materials,Specialty Chemicals,
9553.SR,9553,Basic Materials,Steel,
9555.SR,9555,Consumer Defensive,Farm Products,
9557.SR,9557,Technology,Information Technology Services,
9558.SR,9558,Technology,Software—Infrastructure,
9559.SR,9559,Consumer Defensive,Farm Products,
9560.SR,9560,Industrials,Engineering & Construction,
9561.SR,9561,Technology,Software—Application,
9563.SR,9563,Basic Materials,Steel,
9564.SR,9564,Consumer Defensive,Packaged Foods,
9565.SR,9565,Basic Materials,Building Materials,
9566.SR,9566,Basic Materials,Building Materials,
9567.SR,9567,Consumer Cyclical,Restaurants,
9568.SR,9568,Industrials,Conglomerates,
9569.SR,9569,Basic Materials,Agricultural Inputs,
9570.SR,9570,Industrials,Consulting Services,
9571.SR,9571,Industrials,Integrated Freight & Logistics,
9572.SR,9572,Healthcare,Pharmaceutical Retailers,
9574.SR,9574,Healthcare,Medical Devices,
9575.SR,9575,Basic Materials,Building Materials,
9576.SR,9576,Consumer Cyclical,Packaging & Containers,
9577.SR,9577,Industrials,Rental & Leasing Services,
9578.SR,9578,Industrials,Industrial Distribution,
9579.SR,9579,Consumer Defensive,Household & Personal Products,
9580.SR,9580,Consumer Cyclical,Packaging & Containers,
9581.SR,9581,Consumer Cyclical,Personal Services,
9583.SR,9583,Basic Materials,Building Materials,
9584.SR,9584,Industrials,Rental & Leasing Services,
9585.SR,9585,Financial Services,Asset Management,
9586.SR,9586,Financial Services,Asset Management,
9587.SR,9587,Healthcare,Medical Distribution,
9588.SR,9588,Basic Materials,Steel,
9589.SR,9589,Consumer Cyclical,Apparel Retail,
9590.SR,9590,Consumer Cyclical,Leisure,
9591.SR,9591,Real Estate,Real Estate—Development,
9594.SR,9594,Healthcare,Medical Care Facilities,
9595.SR,9595,Industrials,Consulting Services,
9596.SR,9596,Financial Services,Credit Services,
9597.SR,9597,Industrials,Waste Management,
9598.SR,9598,Consumer Defensive,Education & Training Services,
9599.SR,9599,Industrials,Metal Fabrication,
