provider_symbol,symbol,sector,industry,source
GANGAFORGE.NS,GANGAFORGE,Industrials,Metal Fabrication,
GANGESSECU.NS,GANGESSECU,Consumer Defensive,Packaged Foods,
GARFIBRES.NS,GARFIBRES,Consumer Cyclical,Textile Manufacturing,
GARUDA.NS,GARUDA,Industrials,Engineering & Construction,
GATECH.NS,GATECH,Financial Services,Asset Management,
GATECHDVR.NS,GATECHDVR,Financial Services,Asset Management,
GATEWAY.NS,GATEWAY,Industrials,Integrated Freight & Logistics,
GAUDIUMIVF.NS,GAUDIUMIVF,Healthcare,Medical Care Facilities,
GAYAHWS.NS,GAYAHWS,Industrials,Infrastructure Operations,
GAYAPROJ.NS,GAYAPROJ,Industrials,Engineering & Construction,
GCSL.NS,GCSL,Financial Services,Capital Markets,
GEECEE.NS,GEECEE,Real Estate,Real Estate—Development,
GEEKAYWIRE.NS,GEEKAYWIRE,Industrials,Electrical Equipment & Parts,
GEMAROMA.NS,GEMAROMA,Basic Materials,Chemicals,
GENCON.NS,GENCON,Industrials,Engineering & Construction,
GENESYS.NS,GENESYS,Technology,Software—Application,
GENSOL.NS,GENSOL,Technology,Solar,
GENUSPAPER.NS,GENUSPAPER,Basic Materials,Paper & Paper Products,
GENUSPOWER.NS,GENUSPOWER,Industrials,Electrical Equipment & Parts,
GEOJITFSL.NS,GEOJITFSL,Financial Services,Capital Markets,
GESHIP.NS,GESHIP,Industrials,Marine Shipping,
GFLLIMITED.NS,GFLLIMITED,Financial Services,Asset Management,
GFSTEELS.NS,GFSTEELS,Basic Materials,Steel,
GHCL.NS,GHCL,Basic Materials,Chemicals,
GHCLTEXTIL.NS,GHCLTEXTIL,Consumer Cyclical,Textile Manufacturing,
GICHSGFIN.NS,GICHSGFIN,Financial Services,Mortgage Finance,
GICL.NS,GICL,Industrials,Integrated Freight & Logistics,
GICRE.NS,GICRE,Financial Services,Insurance—Reinsurance,
GILLANDERS.NS,GILLANDERS,Consumer Defensive,Farm Products,
GILLETTE.NS,GILLETTE,Consumer Defensive,Household & Personal Products,
GINNIFILA.NS,GINNIFILA,Consumer Cyclical,Textile Manufacturing,
GIPCL.NS,GIPCL,Utilities,Utilities—Regulated Electric,
GKENERGY.NS,GKENERGY,Utilities,Utilities—Renewable,
GKSL.NS,GKSL,Healthcare,Medical Care Facilities,
GKWLIMITED.NS,GKWLIMITED,Industrials,Specialty Business Services,
GLAND.NS,GLAND,Healthcare,Drug Manufacturers—Specialty & Generic,
GLAXO.NS,GLAXO,Healthcare,Drug Manufacturers—General,
GLENMARK.NS,GLENMARK,Healthcare,Drug Manufacturers—Specialty & Generic,
GLFL.NS,GLFL,Financial Services,Shell Companies,
GLOBAL.NS,GLOBAL,Consumer Defensive,Education & Training Services,
GLOBALE.NS,GLOBALE,Consumer Cyclical,Textile Manufacturing,
GLOBALVECT.NS,GLOBALVECT,Industrials,Airports & Air Services,
GLOBE.NS,GLOBE,Consumer Cyclical,Textile Manufacturing,
