provider_symbol,symbol,sector,industry,source
CXU.AX,CXU,Basic Materials,Other Industrial Metals & Mining,
CXZ.AX,CXZ,Technology,Software—Application,
CY5.AX,CY5,Basic Materials,Other Industrial Metals & Mining,
CYB.AX,CYB,Technology,Software—Infrastructure,
CYC.AX,CYC,Healthcare,Medical Distribution,
CYG.AX,CYG,Industrials,Industrial Distribution,
CYL.AX,CYL,Basic Materials,Gold,
CYP.AX,CYP,Healthcare,Biotechnology,
CYQ.AX,CYQ,Consumer Cyclical,Leisure,
CYV.AX,CYV,Healthcare,Biotechnology,
CZN.AX,CZN,Basic Materials,Other Industrial Metals & Mining,
CZR.AX,CZR,Basic Materials,Other Industrial Metals & Mining,
DAF.AX,DAF,Basic Materials,Gold,
DAI.AX,DAI,Technology,Software—Infrastructure,
DAL.AX,DAL,Basic Materials,Other Industrial Metals & Mining,
DBF.AX,DBF,Consumer Defensive,Farm Products,
DBI.AX,DBI,Industrials,Integrated Freight & Logistics,
DCC.AX,DCC,Technology,Software—Infrastructure,
DDR.AX,DDR,Technology,Electronics & Computer Distribution,
DDT.AX,DDT,Industrials,Security & Protection Services,
DEL.AX,DEL,Utilities,Utilities—Renewable,
DEM.AX,DEM,Industrials,Pollution & Treatment Controls,
DES.AX,DES,Basic Materials,Other Industrial Metals & Mining,
DEV.AX,DEV,Basic Materials,Other Industrial Metals & Mining,
DGH.AX,DGH,Real Estate,Real Estate Services,
DGL.AX,DGL,Basic Materials,Specialty Chemicals,
DGR.AX,DGR,Basic Materials,Other Industrial Metals & Mining,
DGT.AX,DGT,Real Estate,REIT—Specialty,
DJW.AX,DJW,Financial Services,Asset Management,
DLI.AX,DLI,Basic Materials,Gold,
DM1.AX,DM1,Basic Materials,Other Industrial Metals & Mining,
DMP.AX,DMP,Consumer Cyclical,Restaurants,
DNL.AX,DNL,Basic Materials,Specialty Chemicals,
DOC.AX,DOC,Healthcare,Health Information Services,
DOW.AX,DOW,Industrials,Engineering & Construction,
DRO.AX,DRO,Industrials,Aerospace & Defense,
DRR.AX,DRR,Basic Materials,Other Industrial Metals & Mining,
DRX.AX,DRX,Basic Materials,Other Industrial Metals & Mining,
DSK.AX,DSK,Consumer Cyclical,Specialty Retail,
