provider_symbol,symbol,name,region,market_code,sector,industry
MINDSPACE.NS,MINDSPACE,Mindspace Business Parks REIT,india,NSE,,
MONOPHARMA.NS,MONOPHARMA,Mono Pharmacare Limited,india,NSE,,
MOS.NS,MOS,MOS Utility Limited,india,NSE,,
MOXSH.NS,MOXSH,Moxsh Overseas Educon Limited,india,NSE,,
MPTODAY.NS,MPTODAY,Madhya Pradesh Today Media Limited,india,NSE,,
MVKAGRO.NS,MVKAGRO,M.V.K. Agro Food Product Limited,india,NSE,,
NAMAN.NS,NAMAN,Naman In-Store (India) Limited,india,NSE,,
NATIONSTD.NS,NATIONSTD,National Standard (India) Limited,india,NSE,,
NEPHROCARE.NS,NEPHROCARE,Nephro Care India Limited,india,NSE,,
NEWJAISA.NS,NEWJAISA,Newjaisa Technologies Limited,india,NSE,,
NIDAN.NS,NIDAN,Nidan Laboratories and Healthcare Limited,india,NSE,,
NILE.NS,NILE,Nile Limited,india,NSE,,
NIRMAN.NS,NIRMAN,Nirman Agri Genetics Limited,india,NSE,,
NXST.NS,NXST,Nexus Select Trust,india,NSE,,
OLIL.NS,OLIL,Oneclick Logistics India Limited,india,NSE,,
OMFURN.NS,OMFURN,Omfurn India Limited,india,NSE,,
OMKARCHEM.NS,OMKARCHEM,Omkar Speciality Chemicals Limited,india,NSE,,
ONDOOR.NS,ONDOOR,On Door Concepts Limited,india,NSE,,
ORIANA.NS,ORIANA,Oriana Power Limited,india,NSE,,
OWAIS.NS,OWAIS,Owais Metal and Mineral Processing Limited,india,NSE,,
PARAGON.NS,PARAGON,Paragon Fine And Speciality Chemical Limited,india,NSE,,
PARIN.NS,PARIN,Parin Enterprises Limited,india,NSE,,
PARTYCRUS.NS,PARTYCRUS,Party Cruisers Limited,india,NSE,,
PATTECH.NS,PATTECH,Pattech Fitwell Tube Components Limited,india,NSE,,
PCCL.NS,PCCL,Petro Carbon and Chemicals Limited,india,NSE,,
PENTAGON.NS,PENTAGON,Pentagon Rubber Limited,india,NSE,,
PGINVIT.NS,PGINVIT,Powergrid Infrastructure Investment Trust,india,NSE,,
PHANTOMFX.NS,PHANTOMFX,Phantom Digital Effects Limited,india,NSE,,
PIONRINV.NS,PIONRINV,Pioneer Investcorp Limited,india,NSE,,
PLADAINFO.NS,PLADAINFO,Plada Infotech Services Limited,india,NSE,,
PML.NS,PML,Paul Merchants Limited,india,NSE,,
PODDARHOUS.NS,PODDARHOUS,Poddar Housing and Development Limited,india,NSE,,
POLYSIL.NS,POLYSIL,Polysil Irrigation Systems Limited,india,NSE,,
PRADPME.NS,PRADPME,Pradeep Metals Limited,india,NSE,,
PRAMARA.NS,PRAMARA,Pramara Promotions Limited,india,NSE,,
PRATHAM.NS,PRATHAM,Pratham EPC Projects Limited,india,NSE,,
PRAVEG.NS,PRAVEG,Praveg Limited,india,NSE,,
PRECISION.NS,PRECISION,Precision Metaliks Limited,india,NSE,,
PREMCO.NS,PREMCO,Premco Global Limited,india,NSE,,
PRESSTONIC.NS,PRESSTONIC,Presstonic Engineering Limited,india,NSE,,
PRITIKA.NS,PRITIKA,Pritika Engineering Components Limited,india,NSE,,
PRIZOR.NS,PRIZOR,Prizor Viztech Limited,india,NSE,,
PRLIND.NS,PRLIND,Premier Roadlines Limited,india,NSE,,
PROLIFE.NS,PROLIFE,Prolife Industries Limited,india,NSE,,
PROPEQUITY.NS,PROPEQUITY,P.E. Analytics Limited,india,NSE,,
PROV.NS,PROV,Proventus Agrocom Limited,india,NSE,,
PULZ.NS,PULZ,Pulz Electronics Limited,india,NSE,,
PURVFLEXI.NS,PURVFLEXI,Purv Flexipack Limited,india,NSE,,
QFIL.NS,QFIL,Quality Foils (India) Limited,india,NSE,,
QUADPRO.NS,QUADPRO,Quadpro ITeS Limited,india,NSE,,
QUESTLAB.NS,QUESTLAB,Quest Laboratories Limited,india,NSE,,
QUICKTOUCH.NS,QUICKTOUCH,Quicktouch Technologies Limited,india,NSE,,
QUINT.NS,QUINT,Quint Digital Limited,india,NSE,,
RADIOWALLA.NS,RADIOWALLA,Radiowalla Network Limited,india,NSE,,
RBMINFRA.NS,RBMINFRA,RBM Infracon Limited,india,NSE,,
RBS.NS,RBS,Ramdevbaba Solvent Limited,india,NSE,,
RCDL.NS,RCDL,Rajgor Castor Derivatives Limited,india,NSE,,
REFRACTORY.NS,REFRACTORY,Refractory Shapes Limited,india,NSE,,
REMUS.NS,REMUS,Remus Pharmaceuticals Limited,india,NSE,,
REXPIPES.NS,REXPIPES,Rex Pipes and Cables Industries Limited,india,NSE,,
RILINFRA.NS,RILINFRA,Rachana Infrastructure Limited,india,NSE,,
RITEZONE.NS,RITEZONE,Rite Zone Chemcon India Limited,india,NSE,,
ROCKINGDCE.NS,ROCKINGDCE,Rockingdeals Circular Economy Limited,india,NSE,,
ROXHITECH.NS,ROXHITECH,ROX Hi-Tech Limited,india,NSE,,
RRIL.NS,RRIL,RRIL Limited,india,NSE,,
RSDFIN.NS,RSDFIN,RSD Finance Limited,india,NSE,,
RULKA.NS,RULKA,Rulka Electricals Limited,india,NSE,,
SAAKSHI.NS,SAAKSHI,Saakshi Medtech and Panels Limited,india,NSE,,
SABAR.NS,SABAR,Sabar Flex India Limited,india,NSE,,
SADHAV.NS,SADHAV,Sadhav Shipping Limited,india,NSE,,
SAHAJSOLAR.NS,SAHAJSOLAR,Sahaj Solar Limited,india,NSE,,
SAHANA.NS,SAHANA,Sahana System Limited,india,NSE,,
SAIFL.NS,SAIFL,Sameera Agro And Infra Limited,india,NSE,,
SANGANI.NS,SANGANI,Sangani Hospitals Limited,india,NSE,,
SAPPL.NS,SAPPL,Shree Ajit Pulp & Paper Limited,india,NSE,,
SAROJA.NS,SAROJA,Saroja Pharma Industries India Limited,india,NSE,,
SARTELE.NS,SARTELE,SAR Televenture Limited,india,NSE,,
SATIPOLY.NS,SATIPOLY,Sati Poly Plast Limited,india,NSE,,
SCANSTL.NS,SCANSTL,Scan Steels Limited,india,NSE,,
SCML.NS,SCML,Sharp Chucks and Machines Limited,india,NSE,,
SECL.NS,SECL,Salasar Exteriors and Contour Limited,india,NSE,,
SEIL.NS,SEIL,Shanti Educational Initiatives Limited,india,NSE,,
SEL.NS,SEL,Sungarner Energies Limited,india,NSE,,
SERVICE.NS,SERVICE,Service Care Limited,india,NSE,,
